American Madness;[u'Drama'];[u'Robert Riskin'];American_Madness;../data/scraping/texts/American_Madness.txt
American Outlaws;[u'Action', u'Comedy', u'Western'];[u'Roderick Taylor', u'John Rogers'];American_Outlaws;../data/scraping/texts/American_Outlaws.txt
American Pie;[u'Comedy'];[u'Adam Herz'];American_Pie;../data/scraping/texts/American_Pie.txt
American President, The;[u'Comedy', u'Drama', u'Romance'];[u'Aaron Sorkin'];American_President;../data/scraping/texts/American_President.txt
American Psycho;[u'Drama', u'Horror', u'Thriller'];[u'Matthew Markwalder'];American_Psycho;../data/scraping/texts/American_Psycho.txt
American Shaolin: King of Kickboxers II;[u'Action'];[u'Keith Strandburg'];American_Shaolin:_King_of_Kickboxers_II;../data/scraping/texts/American_Shaolin:_King_of_Kickboxers_II.txt
American Sniper;[u'Action', u'Drama'];[u' Jason Hall'];American_Sniper;../data/scraping/texts/American_Sniper.txt
American Splendor;[u'Comedy', u'Drama'];[u'Robert Pulcini', u'Shari Springer Berman'];American_Splendor;../data/scraping/texts/American_Splendor.txt
American Werewolf in London;[u'Comedy', u'Horror', u'Romance'];[u'John Landis'];American_Werewolf_in_London;../data/scraping/texts/American_Werewolf_in_London.txt
American, The;[u'Crime', u'Drama', u'Thriller'];[u'Rowan Joffe'];American;../data/scraping/texts/American.txt
Amityville Asylum, The;[u'Horror'];[u'Andrew Jones'];Amityville_Asylum;../data/scraping/texts/Amityville_Asylum.txt
Amour;[u'Drama', u'Romance'];[u'Michael Haneke'];Amour;../data/scraping/texts/Amour.txt
An Education;[u'Drama'];[u'Nick Hornby', u'Lynn Barber'];An_Education;../data/scraping/texts/An_Education.txt
Analyze That;[u'Comedy', u'Crime'];[u'Peter Steinfeld', u'Harold Ramis', u'Peter Tolan', u'Kenneth Longeran'];Analyze_That;../data/scraping/texts/Analyze_That.txt
Analyze This;[u'Comedy', u'Crime'];[u'Peter Tolan', u'Harold Ramis', u'Kenneth Lonergan'];Analyze_This;../data/scraping/texts/Analyze_This.txt
Anastasia;[u'Family', u'Animation', u'Musical'];[u'Susan Gauthier', u'Bruce Graham'];Anastasia;../data/scraping/texts/Anastasia.txt
Angel Eyes;[u'Drama', u'Romance'];[u'Gerald DiPego'];Angel_Eyes;../data/scraping/texts/Angel_Eyes.txt
Angels & Demons;[u'Drama', u'Mystery', u'Thriller'];[u'David Koepp', u'Akiva Goldsman'];Angels_&_Demons;../data/scraping/texts/Angels_&_Demons.txt
Anna Karenina;[u'Drama'];[u'Tom Stoppard'];Anna_Karenina;../data/scraping/texts/Anna_Karenina.txt
